DATE,WLEMUINDXD
17/10/2008,236.39
18/10/2008,331.95
19/10/2008,139.06
20/10/2008,230.8
21/10/2008,197.4
22/10/2008,154.31
23/10/2008,125.66
24/10/2008,156.97
25/10/2008,491.11
26/10/2008,134.06
27/10/2008,275.38
28/10/2008,161.95
29/10/2008,93.15
30/10/2008,61.32
31/10/2008,132.24
1/11/2008,295.51
2/11/2008,189.68
3/11/2008,278.65
4/11/2008,328.58
5/11/2008,99.14
6/11/2008,109.53
7/11/2008,52.76
8/11/2008,117.26
9/11/2008,106.55
10/11/2008,136.6
11/11/2008,114.3
12/11/2008,130.98
13/11/2008,65.44
14/11/2008,56.71
15/11/2008,144.65
16/11/2008,126.51
17/11/2008,116.36
18/11/2008,255.6
19/11/2008,241.07
20/11/2008,130.31
21/11/2008,177.11
22/11/2008,335.72
23/11/2008,247.9
24/11/2008,429.15
25/11/2008,242.12
26/11/2008,243.6
27/11/2008,138.57
28/11/2008,119.51
29/11/2008,552.23
30/11/2008,257.2
1/12/2008,154.88
2/12/2008,269.96
3/12/2008,96.56
4/12/2008,78.93
5/12/2008,124.83
6/12/2008,206.12
7/12/2008,67.49
8/12/2008,83.65
9/12/2008,78.04
10/12/2008,132.04
11/12/2008,134.74
12/12/2008,19.87
13/12/2008,96.78
14/12/2008,66.11
15/12/2008,113.14
16/12/2008,152.21
17/12/2008,62.26
18/12/2008,30.51
19/12/2008,88.16
20/12/2008,123.29
21/12/2008,159.04
22/12/2008,132.32
23/12/2008,136.1
24/12/2008,113.5
25/12/2008,231.24
26/12/2008,187.92
27/12/2008,528.16
28/12/2008,55.44
29/12/2008,132.21
30/12/2008,237.74
31/12/2008,202.28
1/1/2009,199.53
2/1/2009,75.54
3/1/2009,324.25
4/1/2009,823.76
5/1/2009,52.52
6/1/2009,72.85
7/1/2009,74.41
8/1/2009,48.86
9/1/2009,6.93
10/1/2009,136.67
11/1/2009,103.99
12/1/2009,111.28
13/1/2009,77.77
14/1/2009,72.74
15/1/2009,70.13
16/1/2009,88.69
17/1/2009,144.63
18/1/2009,50.2
19/1/2009,42.7
20/1/2009,113.75
21/1/2009,146.2
22/1/2009,100.58
23/1/2009,67.76
24/1/2009,105.86
25/1/2009,59.52
26/1/2009,145.73
27/1/2009,22.64
28/1/2009,48.79
29/1/2009,33.51
30/1/2009,34.28
31/1/2009,86.09
1/2/2009,24.6
2/2/2009,93.42
3/2/2009,117.26
4/2/2009,60.43
5/2/2009,48.86
6/2/2009,72.59
7/2/2009,104.39
8/2/2009,33.71
9/2/2009,59.94
10/2/2009,141.03
11/2/2009,76.45
12/2/2009,85.95
13/2/2009,102.49
14/2/2009,246.43
15/2/2009,60.83
16/2/2009,52.52
17/2/2009,142.74
18/2/2009,36.43
19/2/2009,33.47
20/2/2009,102
21/2/2009,170.06
22/2/2009,56.27
23/2/2009,166.27
24/2/2009,281.65
25/2/2009,97.71
26/2/2009,107.51
27/2/2009,46.51
28/2/2009,169.84
1/3/2009,121.91
2/3/2009,108.53
3/3/2009,93.35
4/3/2009,30.54
5/3/2009,53.08
6/3/2009,121.15
7/3/2009,391.62
8/3/2009,219.76
9/3/2009,277.66
10/3/2009,53.12
11/3/2009,91.36
12/3/2009,190.9
13/3/2009,74.8
14/3/2009,205.12
15/3/2009,85.57
16/3/2009,58.83
17/3/2009,15.22
18/3/2009,61.4
19/3/2009,121.58
20/3/2009,56.69
21/3/2009,104.1
22/3/2009,61.86
23/3/2009,111.21
24/3/2009,68.51
25/3/2009,114.91
26/3/2009,130.42
27/3/2009,34.32
28/3/2009,166.63
29/3/2009,35.2
30/3/2009,147.02
31/3/2009,110.24
1/4/2009,104.91
2/4/2009,58.5
3/4/2009,30.45
4/4/2009,131.4
5/4/2009,26.17
6/4/2009,19.99
7/4/2009,46.79
8/4/2009,24.33
9/4/2009,16.1
10/4/2009,28.09
11/4/2009,74.98
12/4/2009,98.9
13/4/2009,170.87
14/4/2009,53.65
15/4/2009,89.9
16/4/2009,21.74
17/4/2009,40.6
18/4/2009,80.53
19/4/2009,26.07
20/4/2009,49.86
21/4/2009,45.36
22/4/2009,59.98
23/4/2009,109.96
24/4/2009,31.19
25/4/2009,48.66
26/4/2009,37.57
27/4/2009,77.25
28/4/2009,107.11
29/4/2009,89.91
30/4/2009,42.72
1/5/2009,45.43
2/5/2009,50.03
3/5/2009,44.44
4/5/2009,20.13
5/5/2009,52.24
6/5/2009,17.93
7/5/2009,26.69
8/5/2009,26.48
9/5/2009,30.32
10/5/2009,17.29
11/5/2009,30.82
12/5/2009,22.91
13/5/2009,29.91
14/5/2009,16.37
15/5/2009,13.61
16/5/2009,60.27
17/5/2009,8.85
18/5/2009,10.14
19/5/2009,7.62
20/5/2009,48
21/5/2009,21.91
22/5/2009,21.27
23/5/2009,115.88
24/5/2009,9.09
25/5/2009,132.22
26/5/2009,27.05
27/5/2009,20.94
28/5/2009,34.29
29/5/2009,7.01
30/5/2009,20.41
31/5/2009,26.48
1/6/2009,31.41
2/6/2009,23.78
3/6/2009,44.07
4/6/2009,17.06
5/6/2009,35.18
6/6/2009,74.35
7/6/2009,8.97
8/6/2009,10.54
9/6/2009,8.11
10/6/2009,21.51
11/6/2009,17.29
12/6/2009,14.12
13/6/2009,21.69
14/6/2009,36.23
15/6/2009,21.36
16/6/2009,17.02
17/6/2009,25.92
18/6/2009,39.51
19/6/2009,7.25
20/6/2009,90.49
21/6/2009,18.51
22/6/2009,122.02
23/6/2009,16.51
24/6/2009,13.21
25/6/2009,17.95
26/6/2009,131.86
27/6/2009,33.49
28/6/2009,18.7
29/6/2009,34.08
30/6/2009,66.72
1/7/2009,6.63
2/7/2009,6.05
3/7/2009,9.04
4/7/2009,166.13
5/7/2009,50.76
6/7/2009,11.38
7/7/2009,85.81
8/7/2009,27.83
9/7/2009,88.64
10/7/2009,14.95
11/7/2009,56.8
12/7/2009,39.23
13/7/2009,20.53
14/7/2009,16.71
15/7/2009,27.42
16/7/2009,12.08
17/7/2009,14.92
18/7/2009,33.75
19/7/2009,37.84
20/7/2009,32.25
21/7/2009,54.65
22/7/2009,6.65
23/7/2009,11.86
24/7/2009,7.41
25/7/2009,43.91
26/7/2009,9.13
27/7/2009,21.21
28/7/2009,71.05
29/7/2009,119.69
30/7/2009,29.21
31/7/2009,29.94
1/8/2009,89.11
2/8/2009,73.7
3/8/2009,10.59
4/8/2009,24.51
5/8/2009,6.46
6/8/2009,11.95
7/8/2009,14.87
8/8/2009,33.16
9/8/2009,27.74
10/8/2009,31.75
11/8/2009,33.43
12/8/2009,19.84
13/8/2009,5.98
14/8/2009,22.32
15/8/2009,124.62
16/8/2009,18.86
17/8/2009,10.9
18/8/2009,71.52
19/8/2009,20.36
20/8/2009,34.28
21/8/2009,14.52
22/8/2009,44.33
23/8/2009,36.51
24/8/2009,44.45
25/8/2009,42.39
26/8/2009,6.36
27/8/2009,5.81
28/8/2009,7.28
29/8/2009,104.54
30/8/2009,98.94
31/8/2009,117.95
1/9/2009,39.94
2/9/2009,38.69
3/9/2009,33.92
4/9/2009,48.02
5/9/2009,71.35
6/9/2009,79.37
7/9/2009,49
8/9/2009,37.66
9/9/2009,36.59
10/9/2009,10.98
11/9/2009,46.66
12/9/2009,97.6
13/9/2009,8.35
14/9/2009,30.66
15/9/2009,7.68
16/9/2009,6.12
17/9/2009,5.4
18/9/2009,20.14
19/9/2009,29.37
20/9/2009,33.8
21/9/2009,130.08
22/9/2009,24.55
23/9/2009,6.07
24/9/2009,10.77
25/9/2009,13.55
26/9/2009,58.97
27/9/2009,93.11
28/9/2009,41.08
29/9/2009,16.39
30/9/2009,24.19
1/10/2009,21.82
2/10/2009,87.07
3/10/2009,19.64
4/10/2009,17
5/10/2009,20.05
6/10/2009,22.99
7/10/2009,6.88
8/10/2009,21.33
9/10/2009,13.38
10/10/2009,19.27
11/10/2009,8.52
12/10/2009,30.57
13/10/2009,16.25
14/10/2009,36.94
15/10/2009,5.53
16/10/2009,6.53
17/10/2009,57.24
18/10/2009,16.92
19/10/2009,29.68
20/10/2009,62.4
21/10/2009,17.66
22/10/2009,16.02
23/10/2009,33.04
24/10/2009,88.91
25/10/2009,17
26/10/2009,9.85
27/10/2009,30.77
28/10/2009,23.77
29/10/2009,21.19
30/10/2009,12.96
31/10/2009,86.01
1/11/2009,32.39
2/11/2009,19.69
3/11/2009,865.31
4/11/2009,23.6
5/11/2009,32.89
6/11/2009,39.47
7/11/2009,57.94
8/11/2009,66.87
9/11/2009,19.39
10/11/2009,31.51
11/11/2009,24.65
12/11/2009,10.31
13/11/2009,12.68
14/11/2009,9.81
15/11/2009,8.5
16/11/2009,9.79
17/11/2009,7.99
18/11/2009,42.62
19/11/2009,19.94
20/11/2009,19.07
21/11/2009,30.25
22/11/2009,17.43
23/11/2009,37.85
24/11/2009,22.93
25/11/2009,40.93
26/11/2009,23.78
27/11/2009,24.75
28/11/2009,35.65
29/11/2009,45.49
30/11/2009,376.29
1/12/2009,306.01
2/12/2009,232.89
3/12/2009,5.4
4/12/2009,6.73
5/12/2009,52.67
6/12/2009,8.62
7/12/2009,31.43
8/12/2009,105.54
9/12/2009,62.3
10/12/2009,16.01
11/12/2009,6.66
12/12/2009,53.03
13/12/2009,25.96
14/12/2009,83.98
15/12/2009,16.46
16/12/2009,18.26
17/12/2009,15.83
