DATE,IPCONGD
2008-01-01,108.8706
2008-01-02,108.86542903225806
2008-01-03,108.86025806451613
2008-01-04,108.85508709677418
2008-01-05,108.84991612903225
2008-01-06,108.84474516129032
2008-01-07,108.83957419354839
2008-01-08,108.83440322580645
2008-01-09,108.82923225806451
2008-01-10,108.82406129032258
2008-01-11,108.81889032258064
2008-01-12,108.81371935483871
2008-01-13,108.80854838709678
2008-01-14,108.80337741935483
2008-01-15,108.7982064516129
2008-01-16,108.79303548387097
2008-01-17,108.78786451612903
2008-01-18,108.7826935483871
2008-01-19,108.77752258064517
2008-01-20,108.77235161290322
2008-01-21,108.76718064516129
2008-01-22,108.76200967741936
2008-01-23,108.75683870967742
2008-01-24,108.75166774193549
2008-01-25,108.74649677419355
2008-01-26,108.74132580645161
2008-01-27,108.73615483870968
2008-01-28,108.73098387096775
2008-01-29,108.72581290322582
2008-01-30,108.72064193548387
2008-01-31,108.71547096774194
2008-02-01,108.7103
2008-02-02,108.65684137931035
2008-02-03,108.6033827586207
2008-02-04,108.54992413793104
2008-02-05,108.49646551724138
2008-02-06,108.44300689655172
2008-02-07,108.38954827586207
2008-02-08,108.33608965517242
2008-02-09,108.28263103448276
2008-02-10,108.22917241379311
2008-02-11,108.17571379310345
2008-02-12,108.12225517241379
2008-02-13,108.06879655172413
2008-02-14,108.01533793103448
2008-02-15,107.96187931034483
2008-02-16,107.90842068965517
2008-02-17,107.85496206896552
2008-02-18,107.80150344827587
2008-02-19,107.74804482758621
2008-02-20,107.69458620689655
2008-02-21,107.64112758620689
2008-02-22,107.58766896551724
2008-02-23,107.53421034482759
2008-02-24,107.48075172413793
2008-02-25,107.42729310344828
2008-02-26,107.37383448275862
2008-02-27,107.32037586206896
2008-02-28,107.2669172413793
2008-02-29,107.21345862068965
2008-03-01,107.16
2008-03-02,107.13804516129032
2008-03-03,107.11609032258065
2008-03-04,107.09413548387097
2008-03-05,107.07218064516128
2008-03-06,107.0502258064516
2008-03-07,107.02827096774193
2008-03-08,107.00631612903226
2008-03-09,106.98436129032258
2008-03-10,106.9624064516129
2008-03-11,106.94045161290322
2008-03-12,106.91849677419354
2008-03-13,106.89654193548387
2008-03-14,106.87458709677419
2008-03-15,106.85263225806452
2008-03-16,106.83067741935484
2008-03-17,106.80872258064515
2008-03-18,106.78676774193548
2008-03-19,106.7648129032258
2008-03-20,106.74285806451613
2008-03-21,106.72090322580645
2008-03-22,106.69894838709678
2008-03-23,106.67699354838709
2008-03-24,106.65503870967741
2008-03-25,106.63308387096774
2008-03-26,106.61112903225806
2008-03-27,106.58917419354839
2008-03-28,106.56721935483871
2008-03-29,106.54526451612902
2008-03-30,106.52330967741935
2008-03-31,106.50135483870967
2008-04-01,106.4794
2008-04-02,106.45913666666667
2008-04-03,106.43887333333333
2008-04-04,106.41861
2008-04-05,106.39834666666667
2008-04-06,106.37808333333334
2008-04-07,106.35782
2008-04-08,106.33755666666667
2008-04-09,106.31729333333332
2008-04-10,106.29702999999999
2008-04-11,106.27676666666666
2008-04-12,106.25650333333333
2008-04-13,106.23624
2008-04-14,106.21597666666666
2008-04-15,106.19571333333333
2008-04-16,106.17545
2008-04-17,106.15518666666667
2008-04-18,106.13492333333333
2008-04-19,106.11466
2008-04-20,106.09439666666667
2008-04-21,106.07413333333334
2008-04-22,106.05387
2008-04-23,106.03360666666667
2008-04-24,106.01334333333332
2008-04-25,105.99307999999999
2008-04-26,105.97281666666666
2008-04-27,105.95255333333333
2008-04-28,105.93229
2008-04-29,105.91202666666666
2008-04-30,105.89176333333333
2008-05-01,105.8715
2008-05-02,105.86384838709677
2008-05-03,105.85619677419355
2008-05-04,105.84854516129032
2008-05-05,105.8408935483871
2008-05-06,105.83324193548387
2008-05-07,105.82559032258064
2008-05-08,105.81793870967742
2008-05-09,105.81028709677419
2008-05-10,105.80263548387096
2008-05-11,105.79498387096774
2008-05-12,105.78733225806451
2008-05-13,105.77968064516129
2008-05-14,105.77202903225806
2008-05-15,105.76437741935483
2008-05-16,105.75672580645161
2008-05-17,105.74907419354838
2008-05-18,105.74142258064516
2008-05-19,105.73377096774193
2008-05-20,105.7261193548387
2008-05-21,105.71846774193548
2008-05-22,105.71081612903225
2008-05-23,105.70316451612904
2008-05-24,105.6955129032258
2008-05-25,105.68786129032257
2008-05-26,105.68020967741936
2008-05-27,105.67255806451612
2008-05-28,105.6649064516129
2008-05-29,105.65725483870968
2008-05-30,105.64960322580644
2008-05-31,105.64195161290323
2008-06-01,105.6343
2008-06-02,105.612
2008-06-03,105.5897
2008-06-04,105.56739999999999
2008-06-05,105.54509999999999
2008-06-06,105.52279999999999
2008-06-07,105.5005
2008-06-08,105.4782
2008-06-09,105.4559
2008-06-10,105.4336
2008-06-11,105.4113
2008-06-12,105.389
2008-06-13,105.3667
2008-06-14,105.3444
2008-06-15,105.32209999999999
2008-06-16,105.2998
2008-06-17,105.2775
2008-06-18,105.2552
2008-06-19,105.2329
2008-06-20,105.2106
2008-06-21,105.1883
2008-06-22,105.166
2008-06-23,105.1437
2008-06-24,105.1214
2008-06-25,105.09909999999999
2008-06-26,105.07679999999999
2008-06-27,105.0545
2008-06-28,105.0322
2008-06-29,105.0099
2008-06-30,104.9876
2008-07-01,104.9653
2008-07-02,104.90463870967741
2008-07-03,104.84397741935484
2008-07-04,104.78331612903226
2008-07-05,104.72265483870967
2008-07-06,104.6619935483871
2008-07-07,104.60133225806452
2008-07-08,104.54067096774193
2008-07-09,104.48000967741936
2008-07-10,104.41934838709678
2008-07-11,104.35868709677419
2008-07-12,104.29802580645162
2008-07-13,104.23736451612903
2008-07-14,104.17670322580645
2008-07-15,104.11604193548388
2008-07-16,104.05538064516129
2008-07-17,103.99471935483871
2008-07-18,103.93405806451612
2008-07-19,103.87339677419355
2008-07-20,103.81273548387097
2008-07-21,103.75207419354838
2008-07-22,103.69141290322581
2008-07-23,103.63075161290323
2008-07-24,103.57009032258064
2008-07-25,103.50942903225807
2008-07-26,103.44876774193548
2008-07-27,103.3881064516129
2008-07-28,103.32744516129033
2008-07-29,103.26678387096774
2008-07-30,103.20612258064516
2008-07-31,103.14546129032259
2008-08-01,103.0848
2008-08-02,103.06161290322581
2008-08-03,103.03842580645161
2008-08-04,103.01523870967742
2008-08-05,102.99205161290323
2008-08-06,102.96886451612903
2008-08-07,102.94567741935484
2008-08-08,102.92249032258064
2008-08-09,102.89930322580645
2008-08-10,102.87611612903225
2008-08-11,102.85292903225806
2008-08-12,102.82974193548387
2008-08-13,102.80655483870967
2008-08-14,102.78336774193548
2008-08-15,102.76018064516128
2008-08-16,102.73699354838709
2008-08-17,102.71380645161291
2008-08-18,102.69061935483872
2008-08-19,102.66743225806452
2008-08-20,102.64424516129033
2008-08-21,102.62105806451613
2008-08-22,102.59787096774194
2008-08-23,102.57468387096775
2008-08-24,102.55149677419355
2008-08-25,102.52830967741936
2008-08-26,102.50512258064516
2008-08-27,102.48193548387097
2008-08-28,102.45874838709678
2008-08-29,102.43556129032258
2008-08-30,102.41237419354839
2008-08-31,102.3891870967742
2008-09-01,102.366
2008-09-02,102.37517666666666
2008-09-03,102.38435333333334
2008-09-04,102.39353
2008-09-05,102.40270666666666
2008-09-06,102.41188333333334
2008-09-07,102.42106
2008-09-08,102.43023666666667
2008-09-09,102.43941333333333
2008-09-10,102.44859
2008-09-11,102.45776666666667
2008-09-12,102.46694333333333
2008-09-13,102.47612
2008-09-14,102.48529666666667
2008-09-15,102.49447333333333
2008-09-16,102.50365
2008-09-17,102.51282666666667
2008-09-18,102.52200333333333
2008-09-19,102.53118
2008-09-20,102.54035666666667
2008-09-21,102.54953333333333
2008-09-22,102.55871
2008-09-23,102.56788666666667
2008-09-24,102.57706333333333
2008-09-25,102.58624
2008-09-26,102.59541666666667
2008-09-27,102.60459333333334
2008-09-28,102.61377
2008-09-29,102.62294666666666
2008-09-30,102.63212333333334
2008-10-01,102.6413
2008-10-02,102.61360322580646
2008-10-03,102.5859064516129
2008-10-04,102.55820967741936
2008-10-05,102.53051290322581
2008-10-06,102.50281612903225
2008-10-07,102.47511935483871
2008-10-08,102.44742258064517
2008-10-09,102.41972580645161
2008-10-10,102.39202903225807
2008-10-11,102.36433225806452
2008-10-12,102.33663548387096
2008-10-13,102.30893870967742
2008-10-14,102.28124193548388
